Name,Sales,Retail_Price,Averge_Sale_Price,Highest_Price,Lowest_Price,Release_Date
Jordan 3 Retro Oregon Ducks Pit Crew Black,5,9999,3874,4300,3275,2011-10-11
Jordan 10 OG Sacramento Kings,3,125,528,800,275,1995-06-01
Jordan 4 Retro Eminem Carhartt,3,9999,8833,10500,7000,2015-11-23
Jordan 1 OG Chicago (1985),2,65,4000,10500,2250,1985-09-16
Jordan 1 Retro High Black Gym Red,12365,160,258,450,131,2019-06-29
Jordan 1 Retro High Black Gym Red (GS),4627,120,192,338,130,2019-06-29
Jordan 5 Retro Michigan (2019),351,225,331,650,270,2019-07-06
Jordan 1 Retro High OG Defiant SB LA to Chicago,9861,175,386,1001,230,2019-05-25
Jordan 1 Retro High OG Defiant SB NYC to Paris,8731,175,218,780,130,2019-05-25
Jordan 1 Mid Yellow Toe Black,1950,120,150,227,104,2019-06-19
Jordan 14 Retro Ferrari University Gold,1836,200,221,500,135,2019-06-22
Jordan 4 Retro Raptors Drake OVO (2019),6660,200,295,450,185,2019-06-02
Jordan 1 Retro High Pine Green,22564,160,258,500,130,2018-09-22
Jordan 14 Retro Supreme White,1460,248,307,600,255,2019-06-13
Jordan 1 Retro High Black Crimson Tint (GS),13487,120,181,340,107,2019-04-12
Jordan Legacy 312 White Black Pink Foam (GS),547,110,126,200,66,2019-02-01
Jordan 1 Retro High Season of Her Mint Foam (W),276,160,82,176,55,2018-01-25
Jordan 1 Mid Quai54 (2019),915,115,196,313,121,2019-06-08
Jordan 11 Retro Low Snake Light Bone,1366,185,168,300,100,2019-05-18
Jordan Legacy 312 Olympic (GS),102,110,66,150,50,2019-02-01
Jordan 1 Retro High Bio Beige Anthracite Mystic Green (W),554,145,162,258,114,2019-06-01
Jordan 4 Retro Bred 2019 (GS),2613,140,144,203,100,2019-05-04
Jordan 5 Retro JSP Laney Varsity Royal,1910,200,160,324,78,2019-02-02
Jordan 1 Mid All Over Logos,1085,110,120,200,70,2019-05-01
Jordan 14 Retro Supreme Black,570,150,293,450,215,2019-06-13
Jordan 1 Retro High Phantom Gym Red (GS),2865,120,155,320,107,2019-03-30
Jordan 11 Retro Low Snake Light Bone (GS),476,135,125,209,88,2019-05-18
Jordan 4 Retro White Cement (2016),2902,220,331,510,210,2016-02-13
Jordan 13 Retro Cap and Gown,2124,200,172,450,100,2019-04-27
Jordan 1 Mid White Black Gym Red,427,110,97,150,65,2002-05-01
Jordan 11 Retro Cap and Gown,4647,250,310,575,226,2018-05-26
Jordan 9 Retro Bred Patent,2152,190,216,355,148,2018-03-10
Jordan 1 Mid Crimson Tint,1459,120,154,399,78,2019-04-01
Jordan 7 Retro Ray Allen Bucks,1127,190,162,300,100,2019-06-01
Jordan 6 Retro Reflections of a Champion,823,225,214,390,162,2019-06-08
Jordan 11 Retro 72-10,3128,220,277,419,206,2015-12-12
Jordan 11 Retro Platinum Tint,6884,220,197,500,135,2018-10-27
Jordan 12 Retro Gym Red (2018),5710,190,197,450,130,2018-11-24
Jordan 1 Mid White Black,3860,110,139,309,65,2018-11-01
Jordan 1 Retro High SoleFly Art Basel Sail,783,160,1392,3500,600,2018-12-08
Jordan 1 Retro High Court Purple,12777,160,328,2000,181,2018-09-22
Jordan 11 Retro Low University Blue (2017),1720,175,194,375,137,2017-04-15
Jordan 1 Mid Coral Gold,67,120,122,200,97,2019-07-01
Jordan 3 Retro Mocha (2018),3389,190,160,339,100,2018-12-15
Jordan 5 Retro Paris Saint-Germain,4327,225,251,525,131,2018-09-14
Jordan 5 Retro Trophy Room Ice Blue,3379,200,582,2000,351,2019-05-18
Jordan 5 Retro Grape Fresh Prince,3185,190,229,600,132,2018-09-25
Jordan 3 Retro Chlorophyll,2924,190,128,260,80,2018-11-10
Jordan 4 Retro Tattoo (2018),2430,225,206,400,110,2018-12-29
Jordan 3 Retro Free Throw Line White Cement,1196,200,347,562,251,2018-02-14
Jordan 1 Mid Gunsmoke Volt,48,110,107,140,80,2019-07-01
Jordan 4 Retro Motorsports (2017),1413,190,213,359,70,2017-03-26
Jordan 9 Retro Pearl Blue,3325,190,174,350,100,2019-02-09
Jordan 5 Retro Satin Bred,2995,190,165,400,90,2018-11-03
Jordan 1 Retro High Aleali May Court Lux (W),2751,160,205,499,123,2018-12-22
Jordan 12 Retro Flu Game (2016),2044,190,277,455,30,2016-05-28
Jordan 11 Retro Low Pink Snakeskin (W) (2019),1700,185,180,330,112,2019-05-07
Jordan 4 Retro Flyknit Red,410,220,183,370,127,2019-06-14
Jordan 3 Retro Hall of Fame,4015,190,209,385,150,2018-05-12
Jordan 13 Retro Atmosphere Grey,2380,190,161,450,106,2019-03-23
Jordan 1 Retro High Bred Toe (GS),2061,120,356,550,200,2018-02-24
Jordan 4 Retro Royalty,1291,190,252,450,150,2017-02-04
Jordan 1 Retro High SP Gina (Special Box),851,180,271,600,207,2019-05-25
Jordan 1 Mid Gym Red Black,4504,110,129,350,66,2018-06-01
Jordan 4 Retro Laser Black Gum,4195,200,157,350,101,2018-01-19
Jordan 1 Mid Top 3,2767,110,126,286,70,2019-01-01
Jordan 13 Retro Low Clot Sepia Stone,2715,200,356,675,228,2018-12-13
Jordan 6 Retro Social Status,2188,250,207,946,110,2019-02-21
Jordan 6 Retro Flight Nostalgia,1928,190,141,220,80,2019-01-12
Jordan 6 Retro Flight Nostalgia,1928,190,141,220,80,2019-01-12
Jordan 1 Low Black Toe (GS),656,75,84,165,49,2019-04-01
Jordan 11 Retro Low Golf No Denim Allowed,198,200,350,639,227,2019-06-14
Jordan Hydro 6 Retro Black Infrared 23,72,52,49,100,35,2019-02-01
Jordan 1 Retro High Shadow 2018 (GS),4450,120,182,300,80,2018-04-14
Jordan 11 Retro Low Derek Jeter RE2PECT,2391,200,184,300,141,2018-07-18
Jordan 5 Retro Black Metallic (2016),1850,220,249,320,140,2016-07-23
Jordan 8 Retro South Beach,1396,190,161,256,115,2018-10-13
Jordan Legacy 312 Rookie of the Year,921,150,99,180,56,2018-11-01
Jordan 11 Retro Low Snake Navy 2019 (GS),869,135,129,190,97,2019-04-19
Jordan 14 Retro Ferrari University Gold (GS),173,150,147,245,80,2019-06-22
Jordan 3 Retro Black Cement 2018 (GS),2101,140,114,190,70,2018-02-17
Jordan 1 Retro Chicago (2015),916,160,718,1100,398,2015-05-30
Jordan 13 Retro Black Cat,645,190,227,309,121,2017-01-21
Jordan 6 Retro Alternate Hare,587,190,205,400,100,2017-03-11
Jordan 7 Retro Reflections of a Champion,563,225,171,350,111,2019-06-08
Jordan 7 Retro Topaz Mist (GS),398,140,124,184,80,2019-05-18
Jordan 1 Retro High Hyper Royal (GS),295,120,67,122,39,2018-07-07
Jordan 1 Low Lakers Top 3,204,90,90,111,70,2019-06-20
Jordan 13 Retro Carmelo Anthony Class Of 2002 (B-Grade),5714,190,131,230,90,2018-09-15
